Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
22:40:35:57.630,61,0.1571536362,0.1955862045,0.1687199622,0.0000000000,0.0000000000,0.0724600554,0.0000000000,0.1578929424,0.1964494139,0.0000000000,0.0566839799,0.0000000000,0.0723757148,0.0000000000,0.0627799183,0.0000000000,0.0241083708,0.0662136301,0.0696214586,0.0810656846,0.0633856878,0.0000000000,0.0343014747,0.2185287774,0.2547956705,0.0000000000,0.0000000000,0.1052548587,0.1295087039,0.1384709328,0.1702582538,0.1549777687,0.0433007516,0.2096363753,0.1256862581,0.0932741016,0.0959945172,0.1716301590,0.1671378613,0.0411926247,0.0544681065,0.0119052865,0.0118992291,0.2303316444,0.0000000000,0.0000000000,0.0354395658,0.0991403535,0.1042566448,0.1042901874,0.1350867897,0.0000010411,0.0357842892,-0.2242415398,0.0332436301,0.0343771502,0.1200754344,0.0041469638,0.1023278460,0.1201081127,0.0123276822
22:40:35:58.630,61,0.1577891707,0.1955605894,0.1685746908,0.0000000000,0.0000000000,0.0712600052,0.0000000000,0.1585399061,0.1964227110,0.0000000000,0.0564809106,0.0000000000,0.0711714625,0.0000000000,0.0649442077,0.0000000000,0.0248194411,0.0679396540,0.0712663233,0.0789816603,0.0635235533,0.0000000000,0.0351500623,0.2336011976,0.2726728320,0.0000000000,0.0000000000,0.1168002859,0.1433046907,0.1408503056,0.1730400175,0.1535794586,0.0469533913,0.2034346312,0.1210316494,0.0929983780,0.0955122188,0.1799184829,0.1756207347,0.0422603749,0.0555957370,0.0000000000,0.0000000000,0.2562364638,0.0124036530,0.0124269128,0.0341955796,0.0999051630,0.1049720198,0.1046241894,0.1339656711,0.0000010491,0.0355112925,-0.2277984768,0.0313878767,0.0342540666,0.1200585961,0.0041315369,0.1022399068,0.1200912893,0.0123153860
22:40:35:59.631,61,0.1578361243,0.1947733909,0.1687835008,0.0000000000,0.0000000000,0.0694765598,0.0000000000,0.1585848629,0.1956338882,0.0000000000,0.0566360652,0.0000000000,0.0693883821,0.0000000000,0.0892741606,0.0000000000,0.0251152497,0.0690428540,0.0718029961,0.0665199682,0.0634676069,0.0000000000,0.0356048457,0.2383304685,0.2785227299,0.0000000000,0.0000000000,0.1787181646,0.2141158581,0.1442420781,0.1751879156,0.2135177851,0.0600316487,0.2889248133,0.1459663510,0.0954758376,0.0983119756,0.1619834602,0.1613715291,0.0425709412,0.0558008179,0.0000000000,0.0000000000,0.2656028569,0.0240246616,0.0240759403,0.0336182080,0.0999001339,0.1042299047,0.1044807211,0.1310449541,0.0000009144,0.0366342179,-0.2307876647,0.0307090227,0.0343501493,0.1195768267,0.0041263369,0.1023724899,0.1196094975,0.0122813554
22:40:36:00.632,61,0.1550005674,0.1940549314,0.1695990711,0.0000000000,0.0000000000,0.0679258481,0.0000000000,0.1556137055,0.1949190497,0.0000000000,0.0573973358,0.0000000000,0.0678376257,0.0000000000,0.1105299741,0.0000000000,0.0250392649,0.0694557354,0.0654031113,0.0530927666,0.0632741079,0.0000000000,0.0355807655,0.2229739130,0.2518567443,0.0000000000,0.0000000000,0.2428611219,0.2852722108,0.1455815285,0.1759365648,0.2569925189,0.0813610554,0.3691835403,0.1994877756,0.1256618947,0.1312845647,0.1323163658,0.1309156120,0.0423018783,0.0535751395,0.0000000000,0.0000000000,0.2707195580,0.0465025306,0.0466153771,0.0337542370,0.0958146751,0.0958820134,0.1029318422,0.1225741208,0.0000003992,0.0381451286,-0.2311416566,0.0307190772,0.0348136872,0.1191418096,0.0041666375,0.1028725356,0.1191744357,0.0122958142
22:40:36:01.633,61,0.1509917527,0.1920422465,0.1715037227,0.0000000000,0.0000000000,0.0665148720,0.0000000000,0.1514360458,0.1929127425,0.0000000000,0.0592667311,0.0000000000,0.0664262846,0.0000000000,0.1211496517,0.0000000000,0.0248583555,0.0694448724,0.0551514402,0.0434823446,0.0631403774,0.0000000000,0.0327290185,0.1472610086,0.1637476683,0.0000000000,0.0000000000,0.2658409476,0.3090899885,0.1460561454,0.1736495942,0.2797762454,0.0882868022,0.4551444352,0.2691363990,0.1900020540,0.1976798177,0.1085757688,0.1072771028,0.0416210890,0.0501764491,0.0000000000,0.0000000000,0.2732431591,0.0558452085,0.0560426190,0.0353193581,0.0861750394,0.0814607367,0.0959102958,0.1069518551,0.0000013743,0.0400466360,-0.2304345220,0.0307639446,0.0359527841,0.1179202572,0.0042583789,0.1040429696,0.1179527268,0.0123065319
22:40:36:02.634,61,0.1493747532,0.1913861930,0.1745644063,0.0000000000,0.0000000000,0.0643172413,0.0000000000,0.1497523785,0.1922782809,0.0000000000,0.0623147860,0.0000000000,0.0642365813,0.0000000000,0.1252156347,0.0000000000,0.0245625526,0.0649997890,0.0480033308,0.0396977291,0.0636477098,0.0000000000,0.0254387800,0.1192074642,0.1259991825,0.0000000000,0.0000000000,0.2041731775,0.2291802615,0.1413295269,0.1532678157,0.2645266652,0.0782539621,0.4838678539,0.2918181419,0.1966369450,0.2024747282,0.0906301886,0.0883176327,0.0411793403,0.0487506576,0.0000000000,0.0000000000,0.2749533653,0.0606555007,0.0609052405,0.0411674865,0.0816508681,0.0757033676,0.0935127139,0.1018920392,0.0000013211,0.0416668095,-0.2279942632,0.0309972558,0.0378035344,0.1175404936,0.0044629299,0.1059046686,0.1175729334,0.0124851968
22:40:36:03.635,61,0.1483214200,0.1919506639,0.1777263582,0.0000000000,0.0000000000,0.0617301539,0.0000000000,0.1486535370,0.1928707510,0.0000000000,0.0655006766,0.0000000000,0.0616596714,0.0000000000,0.0828533247,0.0000000000,0.0243671965,0.0550275035,0.0434488766,0.0381366834,0.0679601878,0.0000000000,0.0179168098,0.0428051725,0.0462050959,0.0000000000,0.0000000000,0.1155615151,0.1269470751,0.1290840656,0.1380216330,0.1922273785,0.0438651405,0.4467769563,0.3011280894,0.1548106372,0.1582071036,0.0766491517,0.0742831826,0.0410596654,0.0480129719,0.0000000000,0.0000000000,0.2942330837,0.0634373948,0.0637453198,0.0454727933,0.0794110969,0.0727622062,0.0922936574,0.0993654653,0.0000013722,0.0437992625,-0.2262490392,0.0324203484,0.0397345610,0.1179115623,0.0047057252,0.1078184620,0.1179440394,0.0127504105
22:40:36:04.635,61,0.1466549933,0.1964513063,0.1829390973,0.0000000000,0.0000000000,0.0596676543,0.0000000000,0.1468611062,0.1974361986,0.0000000000,0.0706953332,0.0000000000,0.0596043691,0.0000000000,0.0624171346,0.0000000000,0.0243804269,0.0462822914,0.0408646911,0.0518508442,0.0928459242,0.0000000000,0.0149490815,0.0000000000,0.0000000000,0.0672571361,0.0470348597,0.0594524220,0.0624447726,0.1221523955,0.1307668835,0.1242319643,0.0300562344,0.4411458373,0.3068659008,0.1445622444,0.1461780220,0.0624522567,0.0615407154,0.0433192067,0.0495208055,0.0000000000,0.0000000000,0.3232752383,0.0648779795,0.0652521551,0.0538232103,0.0784124583,0.0714486390,0.0921202675,0.0996667668,0.0000016137,0.0452835858,-0.2268249243,0.0346317664,0.0428714193,0.1207183897,0.0051990165,0.1109440923,0.1207512692,0.0134337265
22:40:36:05.636,61,0.1441303641,0.2091707140,0.1894963235,0.0000000000,0.0000000000,0.0577779785,0.0000000000,0.1442248374,0.2102781832,0.0000000000,0.0770713314,0.0000000000,0.0577207021,0.0000000000,0.0490363762,0.0000000000,0.0261640605,0.0420219004,0.0396701805,0.1332370788,0.1853463054,0.0000000000,0.0135881416,0.0000000000,0.0000000000,0.1145814657,0.0860249624,0.0373383388,0.0373016372,0.1292205900,0.1544873416,0.1013857722,0.0213359185,0.5018733740,0.3791616261,0.1397009045,0.1405515075,0.0570678376,0.0565595813,0.0948573947,0.1051034406,0.0000000000,0.0000000000,0.3597736359,0.0656254515,0.0660650805,0.0627546161,0.0800266340,0.0739706531,0.1124319807,0.1338236630,0.0000004932,0.0451232232,-0.2287912667,0.0379224382,0.0466920435,0.1285925955,0.0060352990,0.1148088723,0.1286265701,0.0148157720
22:40:36:06.636,61,0.1410400420,0.2193532884,0.1915327013,0.0000000000,0.0000000000,0.0562650152,0.0000000000,0.1410710663,0.2205345631,0.0000000000,0.0789197758,0.0000000000,0.0562107414,0.0000000000,0.0431377962,0.0000000000,0.0325691476,0.0399572700,0.0392244495,0.1997330934,0.2100031227,0.0000000000,0.0132541703,0.0000000000,0.0000000000,0.1317401528,0.1022425666,0.0260279030,0.0245722774,0.1460331529,0.1762249470,0.0892477781,0.0170299318,0.4649602175,0.3643489182,0.1365732104,0.1361251473,0.0602846369,0.0600016750,0.1292154193,0.1482281834,0.0000000000,0.0000000000,0.3731890619,0.0700759068,0.0708248392,0.0657703429,0.0841742530,0.0798834786,0.1188922748,0.1429202259,0.0000004798,0.0433921479,-0.2294469476,0.0395436175,0.0477722064,0.1348717362,0.0064799185,0.1159471199,0.1349066049,0.0157010946
22:40:36:07.637,61,0.1328739524,0.2262903452,0.1929994971,0.0000000000,0.0000000000,0.0549328364,0.0000000000,0.1328825206,0.2275235653,0.0000000000,0.0802694485,0.0000000000,0.0548801348,0.0000000000,0.0400120877,0.0000000000,0.0390513428,0.0390829146,0.0390765890,0.2357696444,0.2229473293,0.0000000000,0.0136595769,0.0000000000,0.0000000000,0.1159083918,0.0935839489,0.0203190465,0.0183313545,0.1537625790,0.1878803521,0.0811230391,0.0145491492,0.4152320623,0.3249112964,0.1299745142,0.1276122630,0.0764255226,0.0742542744,0.1513432115,0.1696869731,0.0000000000,0.0000000000,0.4008409977,0.0885226130,0.0895251557,0.0670637265,0.0883527771,0.0852956846,0.1223593205,0.1476742625,0.0000004052,0.0401205495,-0.2291010022,0.0400511473,0.0485606119,0.1391513497,0.0067984513,0.1167669222,0.1391868442,0.0163195916
22:40:36:08.638,61,0.1157152280,0.2269096673,0.1952368170,0.0000000000,0.0000000000,0.0537586324,0.0000000000,0.1157246232,0.2281678468,0.0000000000,0.0824733078,0.0000000000,0.0537078641,0.0000000000,0.0384745561,0.0000000000,0.0436252914,0.0393149406,0.0389604494,0.2658802569,0.2259166837,0.0000000000,0.0141449925,0.0000000000,0.0000000000,0.0990331471,0.0733713508,0.0176712945,0.0162802972,0.1603107601,0.1961795241,0.0745015070,0.0130722728,0.3826714754,0.3055562377,0.1204717383,0.1174168512,0.0959586725,0.0922058672,0.1754442304,0.1944132596,0.0000000000,0.0000000000,0.4359817207,0.1221549734,0.1231497452,0.0661817938,0.0909707248,0.0887457952,0.1241691560,0.1498956382,0.0000000873,0.0365895480,-0.2283979952,0.0393166691,0.0498911068,0.1395545900,0.0070050657,0.1181141436,0.1395900846,0.0165554211
22:40:36:09.638,61,0.0948881507,0.2238310426,0.1957763433,0.0000000000,0.0000000000,0.0526573695,0.0000000000,0.0948987454,0.2250771374,0.0000000000,0.0830319375,0.0000000000,0.0526090935,0.0000000000,0.0378485210,0.0000000000,0.0469464958,0.0416790918,0.0388373546,0.2867569327,0.2258597612,0.0000000000,0.0147335902,0.0000000000,0.0000000000,0.0909254923,0.0643461719,0.0166346952,0.0163314864,0.1652061939,0.2015746385,0.0702579319,0.0121497875,0.3567219377,0.2860018611,0.1122479737,0.1091976911,0.1077074632,0.1035222784,0.1875256896,0.2072179168,0.0000000000,0.0000000000,0.4495280087,0.1538530588,0.1547233164,0.0639784485,0.0922594592,0.0904362649,0.1249315366,0.1506235301,0.0000000280,0.0350190364,-0.2269297838,0.0379563831,0.0502422564,0.1376666427,0.0069576716,0.1184715107,0.1377019286,0.0163778178
22:40:36:10.638,61,0.0846017674,0.2226603627,0.1978851557,0.0000000000,0.0000000000,0.0515444018,0.0000000000,0.0846114755,0.2239195555,0.0000000000,0.0851695910,0.0000000000,0.0514982715,0.0000000000,0.0377270393,0.0000000000,0.0487480164,0.0442138314,0.0386448130,0.2949435115,0.1780187041,0.0000000000,0.0153116481,0.0000000000,0.0000000000,0.0860085189,0.0584395602,0.0165045988,0.0175956115,0.1679871827,0.2043325156,0.0680112988,0.0115371635,0.3384646475,0.2737461030,0.1058383808,0.1028360352,0.1167511642,0.1129786000,0.1958168000,0.2162849754,0.0000000000,0.0000000000,0.4612907767,0.1794336736,0.1803087145,0.0593701079,0.0929867104,0.0914019868,0.1250150502,0.1489816308,0.0000000793,0.0346460156,-0.2261687517,0.0377614237,0.0515407585,0.1369677037,0.0071006338,0.1197593212,0.1370028853,0.0164698772
22:40:36:11.640,61,0.0799188092,0.2229715288,0.2004746050,0.0000000000,0.0000000000,0.0505716167,0.0000000000,0.0799286067,0.2242567092,0.0000000000,0.0877671912,0.0000000000,0.0505259335,0.0000000000,0.0377348661,0.0000000000,0.0499795862,0.0452215225,0.0384851284,0.2561513782,0.1564275175,0.0000000000,0.0159703400,0.0000000000,0.0000000000,0.0829233155,0.0547691584,0.0168833472,0.0190662686,0.1692103297,0.2056458741,0.0668657497,0.0111048175,0.3312480450,0.2684776187,0.1030181721,0.0999988541,0.1203948855,0.1167989671,0.1993287504,0.2201462239,0.0000000000,0.0000000000,0.4764139354,0.1890540719,0.1899252981,0.0560851507,0.0936123058,0.0921089575,0.1249184906,0.1481270492,0.0000007972,0.0352919661,-0.2259753942,0.0377302207,0.0531111695,0.1371853054,0.0073285480,0.1213231385,0.1372205317,0.0167106837
22:40:36:12.640,61,0.0763463527,0.2224045843,0.2010258734,0.0000000000,0.0000000000,0.0497392640,0.0000000000,0.0763721839,0.2236911654,0.0000000000,0.0883881003,0.0000000000,0.0496935621,0.0000000000,0.0377527252,0.0000000000,0.0508148260,0.0458787754,0.0382668003,0.2028411180,0.0962448865,0.0000000000,0.0164852105,0.0000000000,0.0156001067,0.0159120131,0.0000000000,0.0185484029,0.0217221268,0.1648013145,0.1964232028,0.0661972538,0.0108589409,0.2802070677,0.2208013088,0.0974486768,0.0945688710,0.1268613487,0.1261280477,0.1951541603,0.2159670889,0.0000000000,0.0000000000,0.5033654571,0.1995658726,0.2003790736,0.0480117276,0.0941969529,0.0926509053,0.1227769777,0.1410547048,0.0000249220,0.0375349820,-0.2255404741,0.0376845039,0.0534894466,0.1368421018,0.0073619969,0.1216625273,0.1368772835,0.0167147554
22:40:36:13.641,61,0.0726327300,0.2216891199,0.2019029707,0.0000000000,0.0000000000,0.0490672886,0.0000000000,0.0726771951,0.2229794413,0.0000000000,0.0893203020,0.0000000000,0.0490210168,0.0000000000,0.0380382314,0.0000000000,0.0516427606,0.0481443554,0.0378724523,0.1860803217,0.0775313675,0.0000000000,0.0167487673,0.0735159740,0.0944430307,0.0000000000,0.0000000000,0.0233085416,0.0275047868,0.1606252044,0.1892704368,0.0655980706,0.0108157797,0.2199511081,0.1853256822,0.0871806368,0.0843786970,0.1828606576,0.1829961836,0.1917355806,0.2114341259,0.0000000000,0.0000000000,0.5239114165,0.2181667387,0.2190293521,0.0406090915,0.0947993472,0.0930870473,0.1151782274,0.1295762807,0.0000503948,0.0404373854,-0.2255543023,0.0380137041,0.0540568009,0.1364108771,0.0074162674,0.1222006232,0.1364459991,0.0167347472
22:40:36:14.641,61,0.0699099898,0.2173279971,0.2045691907,0.0000000000,0.0000000000,0.0486520529,0.0000000000,0.0699850246,0.2186164260,0.0000000000,0.0921256691,0.0000000000,0.0486047491,0.0000000000,0.0445268601,0.0000000000,0.0534883179,0.0698885918,0.0373464637,0.1714588851,0.0626369640,0.0000000000,0.0168075468,0.1597424895,0.1809038371,0.0000000000,0.0000000000,0.0436444245,0.0512052029,0.1612757891,0.1876886934,0.0651291832,0.0111467959,0.1632572263,0.1358256936,0.0815549567,0.0789329112,0.3047023416,0.3046736717,0.1903000921,0.2097360939,0.0000000000,0.0000000000,0.5478581190,0.2518866062,0.2527131736,0.0336827487,0.0987847149,0.0950420871,0.1094287410,0.1239439696,0.0000558726,0.0442483798,-0.2258724719,0.0382739343,0.0557747707,0.1337544173,0.0075008995,0.1238589212,0.1337891370,0.0166264419
22:40:36:15.642,61,0.0631659478,0.2111882418,0.2082515061,0.0000000000,0.0000000000,0.0483425148,0.0000000000,0.0633360445,0.2124720365,0.0000000000,0.0959566757,0.0000000000,0.0482940450,0.0000000000,0.0574667193,0.0000000000,0.0555264018,0.0920996442,0.0370970666,0.1343647689,0.0547153912,0.0000000000,0.0168689024,0.2308991551,0.2570744157,0.0000000000,0.0000000000,0.0585366189,0.0669019818,0.1662783772,0.1896691024,0.0649430007,0.0141011588,0.1300082803,0.1038174778,0.0748568401,0.0725294650,0.3957069814,0.3961265981,0.1574097425,0.1764272600,0.0000000000,0.0000000000,0.5681405067,0.2773526311,0.2780868113,0.0283782836,0.1030335426,0.0973471627,0.1049082950,0.1201865152,0.0000581796,0.0492808819,-0.2256131768,0.0380671881,0.0581230074,0.1300125718,0.0075951652,0.1261508167,0.1300467700,0.0164534096
22:40:36:16.642,61,0.0510990135,0.2060640901,0.2118010521,0.0000000000,0.0000000000,0.0481771380,0.0000000000,0.0513386503,0.2073472291,0.0000000000,0.0995486006,0.0000000000,0.0481274538,0.0000000000,0.0633285940,0.0000000000,0.0564830378,0.0997678563,0.0381063074,0.1124462038,0.0508342274,0.0000000000,0.0170793775,0.2714564204,0.3047474623,0.0000000000,0.0000000000,0.0726106092,0.0827324390,0.1692247838,0.1915634423,0.0655889362,0.0203203633,0.1165605932,0.0909584835,0.0704443529,0.0683139712,0.3723122478,0.3747794926,0.1179806367,0.1354347020,0.0000000000,0.0000000000,0.5782260895,0.2874544859,0.2881546617,0.0255870521,0.1086345688,0.1016817316,0.1021120027,0.1181557253,0.0000350175,0.0538178086,-0.2257895172,0.0368542857,0.0603230447,0.1268932670,0.0076911217,0.1283525378,0.1269270629,0.0163330771
22:40:36:17.643,61,0.0428985469,0.2044340521,0.2124193311,0.0000000000,0.0000000000,0.0480376743,0.0000000000,0.0431039482,0.2057126462,0.0000000000,0.1001264825,0.0000000000,0.0479865223,0.0000000000,0.0656688064,0.0000000000,0.0566321574,0.0950744152,0.0586101860,0.0965434760,0.0492389649,0.0000000000,0.0173566230,0.2872980237,0.3222311735,0.0000000000,0.0000000000,0.0826389045,0.0946064666,0.1768546402,0.2062004507,0.0806224570,0.0262790415,0.1501731277,0.0847409293,0.0682781264,0.0662216097,0.2809466720,0.2796098292,0.0900809243,0.1011646912,0.0000000000,0.0000000000,0.5874319077,0.2993667126,0.3000086546,0.0240503103,0.1109706461,0.1034678519,0.1007512435,0.1170755476,0.0000098637,0.0573914573,-0.2258897722,0.0360078141,0.0606809147,0.1258956641,0.0076752193,0.1287434399,0.1259293258,0.0162524041
22:40:36:18.643,61,0.0310613103,0.1984117776,0.2145878673,0.0000000000,0.0000000000,0.0480117910,0.0000000000,0.0312436484,0.1996703446,0.0000000000,0.1023599654,0.0000000000,0.0479584411,0.0000000000,0.0679298863,0.0000000000,0.0501266196,0.0893549919,0.0671311691,0.0804333761,0.0514148585,0.0000000000,0.0184581038,0.2574125230,0.2867150009,0.0000000000,0.0000000000,0.1162681952,0.1409991682,0.1817702502,0.2128329128,0.1707503796,0.0396223776,0.2302205414,0.1048864424,0.0684947446,0.0670374408,0.1858964413,0.1811822504,0.0597219467,0.0679988340,0.0000000000,0.0000000000,0.5906410813,0.3040617704,0.3046861291,0.0236365832,0.1122816876,0.1046012118,0.1001000032,0.1166542247,0.0000043223,0.0600893535,-0.2258716375,0.0344397239,0.0620630048,0.1222081333,0.0076175500,0.1301171482,0.1222413257,0.0159389768
22:40:36:19.643,61,0.0226976220,0.1893990040,0.2192885727,0.0000000000,0.0000000000,0.0480418913,0.0000000000,0.0228168927,0.1906371415,0.0000000000,0.1071525514,0.0000000000,0.0479862764,0.0000000000,0.1172846854,0.0000000000,0.0396129973,0.0856642202,0.0694207400,0.0589408837,0.0527919456,0.0000000000,0.0191789735,0.2297483832,0.2574028373,0.0000000000,0.0000000000,0.2026045173,0.2328898907,0.1831978112,0.2124732733,0.2616901696,0.0815540701,0.3299599886,0.1659407020,0.1021795273,0.1062486842,0.1527116299,0.1475498676,0.0469860844,0.0536227040,0.0000000000,0.0000000000,0.5892540812,0.3065682352,0.3071835339,0.0293287840,0.1105097905,0.1031480953,0.0991801322,0.1145743877,0.0000013143,0.0620936453,-0.2260465920,0.0325883590,0.0650117993,0.1167012677,0.0076160766,0.1330548674,0.1167336926,0.0155556714
22:40:36:20.644,61,0.0180802401,0.1807362735,0.2267591357,0.0000000000,0.0000000000,0.0481329262,0.0000000000,0.0181635302,0.1819741726,0.0000000000,0.1146668494,0.0000000000,0.0480753854,0.0000000000,0.1331240386,0.0000000000,0.0326833688,0.0822744370,0.0602618456,0.0470551103,0.0547317937,0.0000000000,0.0195750259,0.1784206331,0.2010809183,0.0000000000,0.0000000000,0.2847343385,0.3217884898,0.1830379367,0.2075455189,0.3007375896,0.0947302654,0.4414798617,0.2449293733,0.1574283391,0.1610501707,0.1268276870,0.1241195723,0.0404919758,0.0463426113,0.0000000000,0.0000000000,0.5596951246,0.3009611070,0.3017525077,0.0374681503,0.1021053717,0.0949594602,0.0948303342,0.1065324619,0.0000003724,0.0646403953,-0.2256432623,0.0326782838,0.0696129650,0.1114327088,0.0077829827,0.1376705319,0.1114644930,0.0153594054
22:40:36:21.645,61,0.0161232427,0.1762994826,0.2356904894,0.0000000000,0.0000000000,0.0483194925,0.0000000000,0.0161952339,0.1775730252,0.0000000000,0.1236450970,0.0000000000,0.0482596792,0.0000000000,0.1410802007,0.0000000000,0.0294649526,0.0799846500,0.0558956787,0.0417389981,0.0563914590,0.0000000000,0.0198389310,0.1623452157,0.1837544739,0.0000000000,0.0000000000,0.3066222072,0.3437764943,0.1820635945,0.2033119053,0.3188243508,0.1014129668,0.4783324599,0.2698580325,0.1740932614,0.1779943556,0.1153901294,0.1132215187,0.0370424688,0.0424897708,0.0000000000,0.0000000000,0.5495391488,0.2919440866,0.2928637862,0.0428930372,0.0993292704,0.0920912996,0.0924842432,0.1033234671,0.0000000648,0.0694036260,-0.2239584476,0.0340793878,0.0750857219,0.1087808907,0.0081923762,0.1431352496,0.1088123322,0.0155820437
22:40:36:22.645,61,0.0188062303,0.1745728403,0.2400727868,0.0000000000,0.0000000000,0.0487279259,0.0000000000,0.0188899282,0.1758663356,0.0000000000,0.1280091852,0.0000000000,0.0486651696,0.0000000000,0.1447291523,0.0000000000,0.0275949314,0.0777506903,0.0538614690,0.0392320082,0.0580582172,0.0000000000,0.0199909974,0.1631652415,0.1890788972,0.0000000000,0.0000000000,0.2581039369,0.2903452814,0.1814360619,0.2009408474,0.3077106476,0.1030600071,0.4486398101,0.2668845952,0.1679604501,0.1713097245,0.1096855998,0.1077646166,0.0353784673,0.0406667478,0.0000000000,0.0000000000,0.5442838073,0.2883605361,0.2893243730,0.0468762368,0.0981231257,0.0908678845,0.0915203840,0.1020387933,0.0000000992,0.0754198208,-0.2215719521,0.0369045436,0.0777446404,0.1077573821,0.0084014684,0.1458130479,0.1077887043,0.0157210082
22:40:36:23.646,61,0.0193920899,0.1761046350,0.2401757240,0.0000000000,0.0000000000,0.0491459332,0.0000000000,0.0194783658,0.1774099469,0.0000000000,0.1281534880,0.0000000000,0.0490798354,0.0000000000,0.1283612102,0.0000000000,0.0268130563,0.0760544538,0.0530482605,0.0417522602,0.0592485592,0.0000000000,0.0201765280,0.1782466620,0.2061993033,0.0000000000,0.0000000000,0.1817347109,0.2042225748,0.1809217334,0.1996712387,0.2446123660,0.0795475841,0.3762450516,0.2125008255,0.1255822182,0.1268025637,0.1119238436,0.1085257307,0.0349563919,0.0408105142,0.0000000000,0.0000000000,0.5460745096,0.2888262868,0.2897503078,0.0485766642,0.1028450951,0.0958214030,0.0913578570,0.1029687300,0.0000000666,0.0801844373,-0.2199812382,0.0404553078,0.0778243020,0.1087038890,0.0084845107,0.1458607912,0.1087353379,0.0158652961
22:40:36:24.647,61,0.0164293889,0.1782487184,0.2416780293,0.0000000000,0.0000000000,0.0496370010,0.0000000000,0.0164745450,0.1795805842,0.0000000000,0.1297479272,0.0000000000,0.0495678447,0.0000000000,0.1129773334,0.0000000000,0.0266609155,0.0749132782,0.0543463603,0.0499798954,0.0600096695,0.0000000000,0.0204149447,0.2125981599,0.2525915802,0.0000000000,0.0000000000,0.1481647640,0.1655586064,0.1810375303,0.1995519698,0.2104840726,0.0669401288,0.3296436369,0.1913750917,0.1113222465,0.1117957681,0.1323077828,0.1269972324,0.0385765657,0.0477009676,0.0000000000,0.0000000000,0.5528360605,0.3019645214,0.3027270138,0.0489940196,0.1154074147,0.1097387820,0.0921735838,0.1090239435,0.0000000533,0.0823558867,-0.2198071182,0.0414000489,0.0787810907,0.1100422367,0.0086951898,0.1467520297,0.1100738272,0.0161595587
22:40:36:25.647,61,0.0130654555,0.1821845919,0.2434713840,0.0000000000,0.0000000000,0.0498668663,0.0000000000,0.0130829103,0.1835594922,0.0000000000,0.1315797120,0.0000000000,0.0497959554,0.0000000000,0.1025417298,0.0000000000,0.0278640594,0.0745672509,0.0614682436,0.0598887019,0.0601688474,0.0000000000,0.0205904897,0.2893849313,0.3272487521,0.0000000000,0.0000000000,0.1308380812,0.1463205963,0.1954566389,0.2205547392,0.1346378773,0.0581344776,0.2360300273,0.1412106305,0.0865985304,0.0852640420,0.2206391543,0.2164415419,0.0630292892,0.0802331641,0.0000000000,0.0000000000,0.5687822700,0.3218882382,0.3225931823,0.0394868366,0.1214873791,0.1152846962,0.0928036794,0.1117157862,0.0000029538,0.0836986974,-0.2196419686,0.0411531888,0.0798716247,0.1124902517,0.0090130363,0.1478013247,0.1125221550,0.0166391935
22:40:36:26.648,61,0.0109078046,0.1864580810,0.2458857596,0.0000000000,0.0000000000,0.0500390604,0.0105108395,0.0109127881,0.1878838390,0.0000000000,0.1340446025,0.0000000000,0.0499667227,0.0102706272,0.0986767337,0.0000000000,0.0407360867,0.0963311046,0.0630143732,0.0635247231,0.0560799353,0.0000000000,0.0206801519,0.3878030479,0.4261710048,0.0000000000,0.0000000000,0.1214541122,0.1352292746,0.2283520997,0.2471778095,0.1075379252,0.0520683564,0.1473206282,0.1073712930,0.0716992840,0.0699263662,0.3778127134,0.3815749884,0.0844299719,0.1014802754,0.0000000000,0.0000000000,0.5772763491,0.3402824402,0.3407392204,0.0306573324,0.1262139827,0.1182017103,0.0932467058,0.1131027117,0.0000034430,0.0841855779,-0.2194889039,0.0408560857,0.0813432783,0.1151541695,0.0093979929,0.1492224783,0.1151864380,0.0171991345
